"Name_UID","Person_UID","Name_Type","Place_of_Birth","Date_of_Birth","Forename1","Forename2","Forename3","Forename4","Surname","Forename1_Metaphone","Forename2_Metaphone","Forename3_Metaphone","Forename4_Metaphone","Surname_Metaphone"
21,21,"P","BIRMINGHAM","1937-01-14","ERNEST","ALLAN",NULL,NULL,"CARMICHAEL","ERNS","ALN","","","KRMX"
22,22,"P","PAKISTAN","1960-01-10","MUSTAFA",NULL,NULL,NULL,"ELKINS","MSTF","","","","ELKN"
23,23,"P","RYDE IOW","1937-01-15","KENNETH","HERBERT",NULL,NULL,"DIXON","KN0","HRBR","","","TKSN"
24,24,"P","UNTD KINGDOM",NULL,"JACQUELINE",NULL,NULL,NULL,"LAWSON","JKKL","","","","LSN"
25,25,"P","SCUNTHORPE","1928-01-27","JOAN",NULL,NULL,NULL,"SADD","JN","","","","ST"
26,26,"P","HULL (16)","1969-01-09","LEE","ANDREW",NULL,NULL,"FRANCIS","L","ANTR","","","FRNS"
27,27,"P","ISLINGTON","1974-01-12","NEIL","PETER",NULL,NULL,"GARRETT","NL","PTR","","","KRT"
28,28,"P","NEWCASTLE/TY","1936-01-26","WILLIAM","EDWARD",NULL,NULL,"TWEEDALE","WLM","ETWR","","","TWTL"
29,29,"P","ISRAEL","1943-01-10","WILLIAM","GEORGE",NULL,NULL,"DUCKWORTH","WLM","JRJ","","","TKWR"
30,30,"P","DUDLEY","1931-01-23","TERENCE","HUGH","WERWOOD",NULL,"CAMERON","TRNS","H","WRWT","","KMRN"
31,31,"P","BIRMINGHAM","1968-01-23","ANDREW","JOHN",NULL,NULL,"BRADLEY","ANTR","JN","","","BRTL"
32,32,"P","BARNSTAPLE","1962-01-15","DEBORAH","ELAINE",NULL,NULL,"WALL","TBR","ELN","","","WL"
33,33,"P","EPPING","1961-01-22","IAN",NULL,NULL,NULL,"BRAR","IN","","","","BRR"
34,34,"P","BIRMINGHAM","1968-01-10","NEAL","ANTHONY",NULL,NULL,"LYNCH","NL","AN0N","","","LNX"
35,35,"P","JAMAICA","1957-01-23","HULDAH",NULL,NULL,NULL,"HEDLEY","HLT","","","","HTL"
36,36,"P","NEWCASTLE","1957-01-25","TREVOR","ALLAN",NULL,NULL,"WILDE","TRFR","ALN","","","WLT"
37,37,"P","GLOUCESTER","1947-01-20","MICHAEL","JOHN",NULL,NULL,"MURPHY","MXL","JN","","","MRF"
38,38,"P","PETERBOROUGH","1954-01-17","WILLIAM","RAYMOND",NULL,NULL,"LETSUMAMASINGHAM","WLM","RMNT","","","LTSM"
39,39,"P","DUNDEE","1930-01-24","WILLIAM","ALLERDYCE",NULL,NULL,"LAWSON","WLM","ALRT","","","LSN"
40,40,"P","GUYANA","1955-01-06","DEODAT",NULL,NULL,NULL,"MOORE","TTT","","","","MR"
41,41,"P","WOOLWICH","1939-01-25","ROBERT","BLACK",NULL,NULL,"KERSHAW","RBRT","BLK","","","KRX"
42,42,"P","KENT","1949-01-03","SIMON","HENRY",NULL,NULL,"ASKHAM","SMN","HNR","","","ASKH"
43,43,"P","LIVERPOOL","1956-01-05","ROBERT","GEORGE",NULL,NULL,"KERR","RBRT","JRJ","","","KR"
44,44,"P","BEDFORD","1967-01-19","ANDREW","JOHN",NULL,NULL,"DOYLE","ANTR","JN","","","TL"
45,45,"P","WEST NORBURY","1965-01-23","DARREN","DAVID",NULL,NULL,"KENNY","TRN","TFT","","","KN"
46,46,"P","FEATHERSTONE","1933-01-30","JAMES",NULL,NULL,NULL,"BARRY","JMS","","","","BR"
47,47,"P","GERMANY","1942-01-03","WILLIAM","MICHAEL",NULL,NULL,"HUMPHRIES","WLM","MXL","","","HMFR"
48,48,"P","WICKFORD","1926-01-11","DESMOND","JOHN",NULL,NULL,"LEDGER","TSMN","JN","","","LJR"
49,49,"P","WESTON/MARE","1967-01-11","MARTIN","CHRISTOPHER",NULL,NULL,"WEBBERLEY","MRTN","XRST","","","WBRL"
50,50,"P","AYLSHAM","1950-01-24","PATRICIA","EVELYN",NULL,NULL,"SNELL","PTRX","EFLN","","","SNL"
51,51,"P","BIRKENHEAD","1966-01-26","SIMON","KENNETH",NULL,NULL,"SMITHSON","SMN","KN0","","","SM0S"
52,52,"P","MANCHESTER","1946-01-13","JAMES","WILLIAM",NULL,NULL,"EDWARDS","JMS","WLM","","","ETWR"
53,53,"P","EBBW VALE","1942-01-11","ROBERT","ARTHUR",NULL,NULL,"FOWLER","RBRT","AR0R","","","FLR"
54,54,"P","BOOTLE","1958-01-17","COLIN",NULL,NULL,NULL,"HENDERSON","KLN","","","","HNTR"
55,55,"P","NORWICH","1960-01-22","MARTYN","CHARLES",NULL,NULL,"WINDRIDGE","MRTN","KRLS","","","WNTR"
56,56,"P","GLASGOW","1949-01-15","BRIAN",NULL,NULL,NULL,"MOGG","BRN","","","","MK"
57,57,"P","NEWCASTLE/TY","1954-01-15","PHILIP","LESTER",NULL,NULL,"WINFIELD","FLP","LSTR","","","WNFL"
58,58,"P","ROCHDALE","1937-01-18","IVAN","NORMAN","FRANCIS",NULL,"MOON","IFN","NRMN","FRNS","","MN"
59,59,"P","EDWINSTONE","1957-01-29","DAVID",NULL,NULL,NULL,"COOP","TFT","","","","KP"
60,60,"P","SUTTON/ASHFD","1969-01-28","ANDREW","JOHN",NULL,NULL,"LEWIS","ANTR","JN","","","LWS"
61,61,"P","COVENTRY","1966-01-07","FIONA","ANNA",NULL,NULL,"BELL","FN","AN","","","BL"
62,62,"P","SPAIN","1956-01-15","EDUARDO",NULL,NULL,NULL,"DONALD","ETRT","","","","TNLT"
63,63,"P","CO DURHAM","1941-01-20","JOSEPH",NULL,NULL,NULL,"TURLEY","JSF","","","","TRL"
64,64,"P","CORBY","1968-01-21","CLYDE","ANDREW",NULL,NULL,"DESA","KLT","ANTR","","","TS"
65,65,"P","HEREFORD","1969-01-06","KENNETH","GEORGE",NULL,NULL,"CREAN","KN0","JRJ","","","KRN"
66,66,"P","BROAD CLYST","1961-01-25","CHARLES","ROBERT",NULL,NULL,"MOYSE","KRLS","RBRT","","","MS"
67,67,"P","PECKHAM","1956-01-02","ROY","THOMAS",NULL,NULL,"O'CONNELL","R","0MS","","","OKNL"
68,68,"P","ST LUCIA WI","1957-01-05","JENNIFER",NULL,NULL,NULL,"HEPPLESTON","JNFR","","","","HPLS"
69,69,"P","CROYDON","1963-01-19","MARCIA",NULL,NULL,NULL,"REEVES","MRX","","","","RFS"
70,70,"P","GLASGOW","1940-01-27","WILLIAM",NULL,NULL,NULL,"FEENEY","WLM","","","","FN"
71,71,"P","BIRMINGHAM","1962-01-24","JENNIFER",NULL,NULL,NULL,"SMITH","JNFR","","","","SM0"
72,72,"P","MIDDLESBRO","1941-01-30","JOHN",NULL,NULL,NULL,"SERVICE","JN","","","","SRFS"
73,73,"P","HEMEL HEMPST","1960-01-15","IAN","ALISTAIR",NULL,NULL,"STICKLAND","IN","ALST","","","STKL"
74,74,"P","SEAHAM","1958-01-03","WAYNE",NULL,NULL,NULL,"GRAHAM-SMITH","WN","","","","KRHM"
75,75,"P","COVENTRY","1970-01-05","ANDREW","JOHN",NULL,NULL,"BROOKS","ANTR","JN","","","BRKS"
76,76,"P","DAGENHAM","1929-01-11","REGINALD","JOHN",NULL,NULL,"PIKE","RJNL","JN","","","PK"
77,77,"P","ROSSENDALE","1959-01-30","DEREK","DESMOND",NULL,NULL,"WARD","TRK","TSMN","","","WRT"
78,78,"P","BURY","1976-01-29","LEE","DAVID",NULL,NULL,"GIBBON","L","TFT","","","JBN"
79,79,"P","BIRMINGHAM","1960-01-31","JOHN","DEREK",NULL,NULL,"PLAISTED","JN","TRK","","","PLST"
80,80,"P","LONDON","1954-01-02","DAVID","JOHN",NULL,NULL,"FIELDING","TFT","JN","","","FLTN"
81,81,"P","MALAYSIA","1947-01-02","RAMHAMSINGAN",NULL,NULL,NULL,"BAIRSTOW","RMHM","","","","BRST"
82,82,"P","PECKHAM","1945-01-04","BRIAN","LESLIE",NULL,NULL,"DEWSALL","BRN","LSL","","","TSL"
83,83,"P","COVENTRY","1955-01-27","JULIE","DAWN",NULL,NULL,"COOMBS","JL","TN","","","KMBS"
84,84,"P","CARDIFF","1947-01-28","GERALD",NULL,NULL,NULL,"DUNCAN","JRLT","","","","TNKN"
85,85,"P","BIRMINGHAM","1939-01-07","COLIN","HARRY",NULL,NULL,"COLEMAN","KLN","HR","","","KLMN"
86,86,"P","LUDLOW","1940-01-09","JEAN",NULL,NULL,NULL,"COSTELLO","JN","","","","KSTL"
87,87,"P","SCOTLAND","1960-01-18","DAVID",NULL,NULL,NULL,"TOBIN","TFT","","","","TBN"
88,88,"P","PARIS","1951-01-03","OLIVER","JEAN","RENE",NULL,"BARKER","OLFR","JN","RN","","BRKR"
89,89,"P","CARDIFF","1960-01-21","ALAN","PAUL",NULL,NULL,"SALT","ALN","PL","","","SLT"
90,90,"P","CARDIFF","1947-01-05","ALAN",NULL,NULL,NULL,"MANNING","ALN","","","","MNNK"
91,91,"P","BRISTOL","1959-01-24","DAVID","GEORGE",NULL,NULL,"MCERLANE","TFT","JRJ","","","MSRL"
92,92,"P","COVENTRY","1957-01-23","COLIN","TERENCE",NULL,NULL,"IRESON","KLN","TRNS","","","IRSN"
93,93,"P","PADDINGTON","1957-01-19","JOHN","VINCENT",NULL,NULL,"ALDERTON","JN","FNSN","","","ALTR"
94,94,"P","OXFORD","1929-01-12","ERIC","WILFRED",NULL,NULL,"POTTS","ERK","WLFR","","","PTS"
95,95,"P","LIVERPOOL","1938-01-22","MICHELE",NULL,NULL,NULL,"SHARP","MXL","","","","XRP"
96,96,"P","GLASGOW","1943-01-14","THOMAS",NULL,NULL,NULL,"ANDERS","0MS","","","","ANTR"
97,97,"P",NULL,"1937-01-07","DARRYL","ERNEST",NULL,NULL,"REES","TRL","ERNS","","","RS"
98,98,"P","SUTTN COLDFD","1963-01-27","DOMINIC","GILBERT","ANDREW",NULL,"BUTLER","TMNK","JLBR","ANTR","","BTLR"
99,99,"P","LIVERPOOL","1936-01-21","ARTHUR",NULL,NULL,NULL,"STEWART","AR0R","","","","STWR"
100,100,"P","CORK","1941-01-11","JOHN","CHRISTOPHER",NULL,NULL,"TERESZCYZN","JN","XRST","","","TRSS"
101,101,"P","BELFAST","1958-01-19","MARGARUITTE",NULL,NULL,NULL,"MALBON","MRKR","","","","MLBN"
102,102,"P","BLACKBURN","1968-01-22","JOHN","PATRICK",NULL,NULL,"MARSHALL","JN","PTRK","","","MRXL"
103,103,"P","EASTBOURNE","1969-01-19","TIMOTHY","JOHN",NULL,NULL,"IVE","TM0","JN","","","IF"
104,104,"P","BLACKPOOL","1948-01-10","DAVID","STANLEY",NULL,NULL,"JEWELL","TFT","STNL","","","JWL"
105,105,"P","YORK","1963-01-26","LESLIE","NEIL",NULL,NULL,"ANJAM","LSL","NL","","","ANJM"
106,106,"P","BURY/EDMUNDS","1922-01-29","FREDRICK","MARTIN",NULL,NULL,"MARSH","FRTR","MRTN","","","MRX"
107,107,"P","PETERBOROUGH","1965-01-10","ANDREW","JAMES",NULL,NULL,"WOODHOUSE","ANTR","JMS","","","WTHS"
108,108,"P","SWANSEA","1952-01-06","JOHN",NULL,NULL,NULL,"POOLE","JN","","","","PL"
109,109,"P","PERTH","1948-01-27","DAVID",NULL,NULL,NULL,"MORAN","TFT","","","","MRN"
110,110,"P",NULL,NULL,"DOUGLAS","JAMES",NULL,NULL,"JOHNSTON","TKLS","JMS","","","JNST"
111,111,"P","OLDHAM","1959-01-26","LESLIE",NULL,NULL,NULL,"CROFTS","LSL","","","","KRFT"
112,112,"P","TIDWORTH","1962-01-05","BRIAN","JOHN",NULL,NULL,"CARLILL","BRN","JN","","","KRLL"
113,113,"P","DUBLIN EIRE","1960-01-13","PAUL","RICHARD",NULL,NULL,"NEARY","PL","RXRT","","","NR"
114,114,"P","BLACKBURN","1973-01-25","PHILIP","ANDREW",NULL,NULL,"GEE","FLP","ANTR","","","J"
115,115,"P","YORK","1965-01-25","SHANE",NULL,NULL,NULL,"MILLAR","XN","","","","MLR"
116,116,"P","E KIRBY","1940-01-08","JACK",NULL,NULL,NULL,"THOMPSON","JK","","","","0MPS"
117,117,"P","HUDDERSFIELD","1957-01-04","JEREMY","CHARLES",NULL,NULL,"SMITH","JRM","KRLS","","","SM0"
118,118,"P","N KESTEVENS","1963-01-03","PETER","JOHN",NULL,NULL,"BENTLEY","PTR","JN","","","BNTL"
119,119,"P","STOKE/TRENT","1958-01-03","PAUL","VICTOR",NULL,NULL,"PHYALL","PL","FKTR","","","FYL"
120,120,"P","GLOUCESTER","1971-01-29","SEAN",NULL,NULL,NULL,"GARDE","SN","","","","KRT"
121,121,"P","PARIS","1961-01-29","ERIC","ANDRE",NULL,NULL,"ASQUITH","ERK","ANTR","","","ASK0"
122,122,"P","PAISLEY","1958-01-18","JAMES",NULL,NULL,NULL,"JENKINS","JMS","","","","JNKN"
123,123,"P","LONDON","1960-01-15","STEPHEN","PHILIP",NULL,NULL,"BLAY","STFN","FLP","","","BL"
124,124,"P","FRANCE","1956-01-29","PASCAL","CHERIF",NULL,NULL,"RAAB","PSKL","KRF","","","RB"
125,125,"P","PLYMOUTH","1973-01-28","GREGORY","JOHN",NULL,NULL,"MURRILL","KRKR","JN","","","MRL"
126,126,"P","SOUTHAMPTON","1964-01-28","KATHERINE","ANN",NULL,NULL,"BURTON","K0RN","AN","","","BRTN"
127,127,"P","EDINBURGH","1974-01-11","PAUL",NULL,NULL,NULL,"MCBETH","PL","","","","MKB0"
128,128,"P","COVENTRY","1936-01-18","HARRY",NULL,NULL,NULL,"BEYNON","HR","","","","BNN"
129,129,"P","NORWICH","1973-01-01","GARETH","STEPHEN",NULL,NULL,"GILMARTIN","KR0","STFN","","","JLMR"
130,130,"P",NULL,"1958-01-28","MARY","ANN",NULL,NULL,"WHELDON","MR","AN","","","WLTN"
131,131,"P","SHEERNESS","1942-01-17","BRIAN",NULL,NULL,NULL,"RABILLAT","BRN","","","","RBLT"
132,132,"P","HARTLEPOOL","1945-01-10","WILLIAM","HENRY",NULL,NULL,"HILDITCH","WLM","HNR","","","HLTX"
133,133,"P","SHROPSHIRE","1972-01-26","GUY",NULL,NULL,NULL,"WOOD","K","","","","WT"
134,134,"P","WORCESTER","1951-01-20","ROBERT","ALFRED",NULL,NULL,"KENNETT","RBRT","ALFR","","","KNT"
135,135,"P","MANCHESTER","1947-01-07","DENNIS",NULL,NULL,NULL,"BROWN","TNS","","","","BRN"
136,136,"P","CHIPPENHAM WILTSHIRE","1973-01-02","WILLIAM","MARK","JOHN",NULL,"MUNDY","WLM","MRK","JN","","MNT"
137,137,"P","FARNHAM","1923-01-14","GILBERT","ERNEST",NULL,NULL,"NOBLE","JLBR","ERNS","","","NBL"
138,138,"P","SOUTHAMPTON","1954-01-02","DAVID","JOHN",NULL,NULL,"WILSON","TFT","JN","","","WLSN"
139,139,"P","FALMOUTH","1964-01-12","SIMON","PATRICK",NULL,NULL,"TAYLOR","SMN","PTRK","","","TLR"
140,140,"P","COVENTRY","1944-01-29","JOHN","RICHARD",NULL,NULL,"DILLON","JN","RXRT","","","TLN"
141,141,"P","GLASGOW","1948-01-12","WILLIAM",NULL,NULL,NULL,"GAMBLE","WLM","","","","KMBL"
142,142,"P","CO GALWAY",NULL,"JOHN",NULL,NULL,NULL,"LONSDALE","JN","","","","LNST"
143,143,"P","ST HELENS","1957-01-27","PAUL","GORDON",NULL,NULL,"HOLT","PL","KRTN","","","HLT"
144,144,"P","WATFORD","1958-01-18","COLIN","DAVID",NULL,NULL,"HIGHFIELD","KLN","TFT","","","HFLT"
145,145,"P","IRVINE","1958-01-05","COLIN","STUART",NULL,NULL,"BILLINGHAM","KLN","STRT","","","BLNK"
146,146,"P","MERTHYR","1943-01-16","JOHN","HENRY",NULL,NULL,"TIMMS","JN","HNR","","","TMS"
147,147,"P","HASTINGS E SUSSEX","1961-01-13","STEVEN","CARL",NULL,NULL,"PINK","STFN","KRL","","","PNK"
148,148,"P","BARNSLEY","1963-01-13","DAVID","WAYNE",NULL,NULL,"MCQUEEN","TFT","WN","","","MKKN"
149,149,"P","SCOTLAND","1956-01-19","MICHAEL","JOHN",NULL,NULL,"VILA","MXL","JN","","","FL"
150,150,"P","LEIGH PARK","1957-01-09","STEPHEN","PAUL",NULL,NULL,"BIRKETT","STFN","PL","","","BRKT"
151,151,"P","MANSFIELD","1969-01-22","JOHN","DEREK",NULL,NULL,"RICHMOND","JN","TRK","","","RXMN"
152,152,"P","STOWMARKET","1947-01-25","TREVOR","RAMON",NULL,NULL,"ANDERSON","TRFR","RMN","","","ANTR"
153,153,"P","COATBRIDGE","1959-01-26","GERARD",NULL,NULL,NULL,"JONES","JRRT","","","","JNS"
154,154,"P","COLCHESTER","1953-01-30","PAUL","MICHAEL",NULL,NULL,"MAY","PL","MXL","","","M"
155,155,"P","LONDON","1944-01-07","ALAN",NULL,NULL,NULL,"TWIGG","ALN","","","","TWK"
156,156,"P","SWINDON","1967-01-17","SALLY","ANN",NULL,NULL,"MANUEL","SL","AN","","","MNL"
157,157,"P","LYNDHURST","1954-01-11","MICHAEL","JOHN",NULL,NULL,"SCULLION","MXL","JN","","","SKLN"
158,158,"P","BANGLADESH","1974-01-10","NOOR",NULL,NULL,NULL,"KENT","NR","","","","KNT"
159,159,"P","CANTERBURY","1961-01-27","MARK",NULL,NULL,NULL,"RENWICK","MRK","","","","RNWK"
160,160,"P","ROYSTON","1972-01-21","MICHAEL","EDWARD",NULL,NULL,"MILLER","MXL","ETWR","","","MLR"
161,161,"P","BARROW/FURNESS","1954-01-16","ANNE","ADA",NULL,NULL,"ANDERSON","AN","AT","","","ANTR"
162,162,"P","LEEDS","1963-01-22","RICHARD","THOMAS",NULL,NULL,"HENRY","RXRT","0MS","","","HNR"
163,163,"P","READING","1945-01-04","DAVID","ALAN",NULL,NULL,"BOTUR","TFT","ALN","","","BTR"
164,164,"P","BEDS","1972-01-07","DANE","ANTHONY",NULL,NULL,"SIMCOCK","TN","AN0N","","","SMKK"
165,165,"P","LONDON","1974-01-20","PETER","GRAHAM",NULL,NULL,"YUILL","PTR","KRHM","","","YL"
166,166,"P","LUTON","1957-01-24","JEANNETTA","MARGARET",NULL,NULL,"FOWLER","JNT","MRKR","","","FLR"
167,167,"P","THAXTED","1959-01-17","ROBIN","TIMOTHY",NULL,NULL,"ROWE","RBN","TM0","","","RW"
168,168,"P","BIRMINGHAM","1972-01-09","CHANTEL","NATASHA",NULL,NULL,"PARRY","KNTL","NTX","","","PR"
169,169,"P","FRANCE","1952-01-14","MICHELE","ANNIE",NULL,NULL,"ONYETT","MXL","AN","","","ONYT"
170,170,"P","AUSTRALIA","1952-01-25","WAYNE","WILLIAM","CARL",NULL,"FIELD","WN","WLM","KRL","","FLT"
171,171,"P","COVENTRY","1942-01-04","JOAN",NULL,NULL,NULL,"STEWART","JN","","","","STWR"
172,172,"P","POOLE","1938-01-02","ALBERT","CHARLES",NULL,NULL,"SHARP","ALBR","KRLS","","","XRP"
173,173,"P","LIVERPOOL","1943-01-23","FRANCIS","MICHAEL",NULL,NULL,"KNEE","FRNS","MXL","","","N"
174,174,"P","BIRMINGHAM","1941-01-18","TERRY","EDWARD",NULL,NULL,"BURKE","TR","ETWR","","","BRK"
175,175,"P","REDHILL","1952-01-15","HILARY","JANE",NULL,NULL,"POLANKIEWICZ","HLR","JN","","","PLNK"
176,176,"P","LONDONDERRY","1958-01-17","GARY","WALTER",NULL,NULL,"IHEANACHO","KR","WLTR","","","IHNX"
177,177,"P","LONDON","1947-01-29","CLIVE","STUART",NULL,NULL,"GATES","KLF","STRT","","","KTS"
178,178,"P","WALSALL","1966-01-26","TINA","MARIA",NULL,NULL,"BRAMHALL","TN","MR","","","BRMH"
179,179,"P","AIDRIE","1945-01-11","TERESA",NULL,NULL,NULL,"JOYCE","TRS","","","","JS"
180,180,"P","LIVERPOOL","1975-01-02","JENNIFER","ELIZABETH",NULL,NULL,"MCCROSSAN","JNFR","ELSB","","","MKKR"
181,181,"P","MANCHESTER","1946-01-19","ERIC",NULL,NULL,NULL,"HINTON","ERK","","","","HNTN"
182,182,"P","STOCKPORT","1950-01-24","ERIC",NULL,NULL,NULL,"FORWARD","ERK","","","","FRWR"
183,183,"P","STH SHIELDS","1935-01-13","WILLIAM",NULL,NULL,NULL,"RAMLAL","WLM","","","","RMLL"
184,184,"P","HARTLEPOOL","1934-01-11","STANLEY",NULL,NULL,NULL,"ROSEWELL","STNL","","","","RSWL"
185,185,"P","KNUTSFORD","1955-01-16","RONALD","CHARLES",NULL,NULL,"PORTEOUS","RNLT","KRLS","","","PRTS"
186,186,"P","BULWELL","1958-01-07","STEVEN",NULL,NULL,NULL,"ROBERTS","STFN","","","","RBRT"
187,187,"P","TEXAS USA","1958-01-05","JAMES","ERIC",NULL,NULL,"REGAN","JMS","ERK","","","RKN"
188,188,"P","DUNDEE","1946-01-05","DAVID","STEWART",NULL,NULL,"COLEMAN","TFT","STWR","","","KLMN"
189,189,"P","MON","1951-01-16","ROBERT","HUGH","RODNEY",NULL,"DAVIES","RBRT","H","RTN","","TFS"
190,190,"P","SKIPTON","1956-01-23","PATRICIA",NULL,NULL,NULL,"MIDDHAT","PTRX","","","","MTHT"
191,191,"P","ISLE OF MAN","1975-01-23","DONNA","LOUISE",NULL,NULL,"VARLEY","TN","LS","","","FRL"
192,192,"P","TAUNTON","1957-01-14","JAMES","WILLIAM",NULL,NULL,"HARKER","JMS","WLM","","","HRKR"
193,193,"P","MIDDLESBRO","1962-01-08","DAVID","GRAHAM",NULL,NULL,"BOLLINGTON","TFT","KRHM","","","BLNK"
194,194,"P","LIVERPOOL","1977-01-28","PAULA",NULL,NULL,NULL,"AINSWORTH","PL","","","","ANSW"
195,195,"P","CITY OF LONDON","1978-01-29","LIAM",NULL,NULL,NULL,"WALKER","LM","","","","WLKR"
196,196,"P","EST HUNTSPIL","1933-01-29","DONALD","STEPHEN",NULL,NULL,"BERRY","TNLT","STFN","","","BR"
197,197,"P","NEWPORT","1961-01-17","NEIL","MICHAEL",NULL,NULL,"SEYMOUR","NL","MXL","","","SMR"
198,198,"P","BURY","1967-01-08","PAUL",NULL,NULL,NULL,"ROBERTSON","PL","","","","RBRT"
199,199,"P","GODALMING SY","1964-01-21","PETER",NULL,NULL,NULL,"CRITCHETT","PTR","","","","KRXT"
200,200,"P","ENFIELD","1956-01-11","ROBERT","JAMES",NULL,NULL,"GUNBY","RBRT","JMS","","","KNB"
201,201,"P","DERBY","1941-01-28","ROBERT","WILLIAM",NULL,NULL,"SMITH","RBRT","WLM","","","SM0"
202,202,"P","BLURTON","1955-01-16","LESLIE","FRANK",NULL,NULL,"COLE","LSL","FRNK","","","KL"
203,203,"P","BILLINGE","1966-01-24","NEIL","CLIVE",NULL,NULL,"WALKER","NL","KLF","","","WLKR"
204,204,"P","SUSSEX","1927-01-08","RONALD","VICTOR","WOOD",NULL,"LAMB","RNLT","FKTR","WT","","LM"
205,205,"P","BIRKENHEAD","1944-01-16","BRIAN",NULL,NULL,NULL,"EMANUAL","BRN","","","","EMNL"
206,206,"P","WIGAN LANCS","1971-01-05","LEE",NULL,NULL,NULL,"INGE","L","","","","INJ"
207,207,"P","MERTHYR TYDFIL","1974-01-05","MICHAEL","PATRICK",NULL,NULL,"LITTLEFAIR","MXL","PTRK","","","LTLF"
208,208,"P","KINGSTON/HUL","1952-01-23","PETER","JOSEPH","GARY",NULL,"MARSDEN","PTR","JSF","KR","","MRST"
209,209,"P","W HAM","1945-01-26","LINDA","ANN",NULL,NULL,"APPLEBY","LNT","AN","","","APLB"
210,210,"P","ISLEWORTH","1955-01-18","MARTIN","CARL",NULL,NULL,"UNDERWOOD","MRTN","KRL","","","UNTR"
211,211,"P","RAINHAM","1950-01-19","DAVID","GEORGE",NULL,NULL,"RUSSELL","TFT","JRJ","","","RSL"
212,212,"P","KENT","1965-01-11","DAVID","LAWRENCE",NULL,NULL,"HARDCASTLE","TFT","LRNS","","","HRTK"
213,213,"P","CARDIFF","1977-01-30","JEEVAN","SINGH",NULL,NULL,"DEXTER","JFN","SN","","","TKST"
214,214,"P","CREWE","1972-01-05","MARK","ROBERT",NULL,NULL,"BARTROP","MRK","RBRT","","","BRTR"
215,215,"P","JAMAICA","1968-01-13","LEE","SYDNEY",NULL,NULL,"KERR","L","STN","","","KR"
216,216,"P","NOTTINGHAM 31","1960-01-16","ERNEST","PETER",NULL,NULL,"CORNELL","ERNS","PTR","","","KRNL"
217,217,"P","COSELEY","1935-01-28","DESMOND",NULL,NULL,NULL,"SAUNDERS","TSMN","","","","SNTR"
218,218,"P","WREXHAM","1939-01-10","BERNARD",NULL,NULL,NULL,"THOMAS","BRNR","","","","0MS"
219,219,"P","GLOUCESTER","1943-01-16","HELENA","MARIE",NULL,NULL,"PETYT","HLN","MR","","","PTT"
220,220,"P","GLASGOW","1959-01-27","FRANCIS","JOSEPH",NULL,NULL,"KELLY","FRNS","JSF","","","KL"
